"os_nr","os_navn","Dato","Tid","psal","DKI","DKI_pooled","diff"
94230077,"BF10_1",20230306,1200,22.410188,0.769912889766014,0.774506906950934,0.00459401718492036
94230078,"BF10_2",20230306,1200,13.759325,0.784063669349737,0.775181952298635,-0.00888171705110197
94260043,"Naeraa strand",20230516,1200,19.5020875,0.672714726519119,0.671283351129175,-0.00143137538994398
94300020,"LI",20230413,1200,26.8600791666667,0.846478957428788,0.849813700509694,0.00333474308090587
94300020,"LI",20230517,1200,26.8600791666667,0.756028706454353,0.769772886068537,0.0137441796141836
94300047,"EN03",20230516,1200,27.1266111111111,0.778929928589162,0.780881223964305,0.00195129537514305
94400049,"AB01",20231005,1200,27.8906583333333,0.476654077640672,0.497360791200196,0.0207067135595233
95110015,"Aebeloe",20230301,1200,19.5020875,0.855563059255807,0.865316587592132,0.00975352833632448
95130028,"VF",20230508,1200,23.0957,0.753628067287343,0.71464781793963,-0.0389802493477128
95300037,"Habitatområde nr. 96",20230515,1200,23.697,0.874335371134827,0.876501222132199,0.00216585099737199
95700008,"FFSB0011",20230321,1200,22.2195166666667,0.455100458459049,0.452844983700452,-0.00225547475859678
95920014,"AUGF0013",20230320,1200,19.8883652173913,0.619915654395698,0.603432137912182,-0.0164835164835164
96100095,"939",20230531,1200,26.0732833333333,0.902410067115924,0.903670095698432,0.00126002858250795
96220322,"BF Karrebæksminde Bugt",20230501,1200,19.3805,0.690590390782911,0.68836934312997,-0.00222104765294107
96420201,"BF Nakskov Fjord - Hvidegrund",20230511,1200,16.3094222222222,0.760351433010948,0.757390225793448,-0.00296120721750082
96510125,"6500351",20230330,1200,20.228547826087,0.637930118336907,0.661722820570053,0.0237927022331459
97200035,"BF27",20230501,1200,31.52019,0.773026042772201,0.775070766143185,0.00204472337098394
97200067,"S31",20230523,1200,32.4343869565217,0.687953462275169,0.685736857102143,-0.00221660517302613
97300018,"171",20230608,1200,31.4387333333333,0.822543000412189,0.81290521298039,-0.00963778743179933
98200068,"952",20230310,1200,21.1870714285714,0.679671323034726,0.677736799225202,-0.00193452380952386
99300044,"HBF0801001",20230328,1200,13.3696111111111,0.740058795264626,0.726637271499906,-0.0134215237647203
99320065,"BF Stege Bugt",20230424,1200,11.1200875,0.941287990579591,0.947700929824537,0.00641293924494613
