"Artsnavn","species","AMBI","AMBI_group"
"Gari fervensis","Gari fervensis",TRUE,1
"Gastropoda indet.","Gastropoda",FALSE,
"Gastrosaccus spinifer","Gastrosaccus spinifer",TRUE,2
"Gattyana cirrosa","Gattyana cirrhosa",TRUE,2
"Gibbula cineraria","Gibbula cineraria",TRUE,1
"Gibbula tumida","Gibbula tumida",TRUE,1
"Gilvossius tyrrhenus","Gilvossius tyrrhenus",TRUE,3
"Glycera alba","Glycera alba",TRUE,4
"Glycera capitata","Glycera capitata",TRUE,2
"Glycera celtica","Glycera celtica",TRUE,2
"Glycera lapidum","Glycera lapidum",TRUE,2
"Glycera rouxii","Glycera rouxii",TRUE,2
"Glycera sp.","Glycera sp.",TRUE,2
"Glycera tesselata","Glycera tesselata",TRUE,2
"Glycinde nordmanni","Glycinde nordmanni",TRUE,2
"Gnathia oxyurea","Gnathia oxyuraea",TRUE,1
"Gnathia sp.","Gnathia sp.",TRUE,1
"Gobiidae indet.","Gobiidae",FALSE,
"Golfingia sp.","Golfingia sp.",TRUE,1
"Golfingia vulgaris","Golfingia vulgaris",TRUE,1
"Golfingiidae indet.","Golfingiidae",TRUE,1
"Goniada maculata","Goniada maculata",TRUE,2
"Goniadella bobretzkii","Goniadella bobrezkii",TRUE,2
"HYDROZOA, Polypdyr","Hydrozoa",TRUE,1
"Halacaridae indet.","Halacaridae",TRUE,1
"Halichondria panicea","Halichondria panicea",TRUE,1
"Halicryptus spinulosus","Halicryptus spinulosus",TRUE,3
"Haminella solitaria","Haminella solitaria",TRUE,2
"Harmothoe antilopes","Harmothoe antilopes",TRUE,2
"Harmothoe elisabethae","Harmothoe elisabethae",TRUE,2
"Harmothoe imbricata","Harmothoe imbricata",TRUE,2
"Harmothoe impar","Harmothoe impar",TRUE,2
"Harmothoe lunulata","Harmothoe lunulata",TRUE,2
"Harmothoe sp.","Harmothoe sp.",TRUE,2
"Harpinia antennaria","Harpinia antennaria",TRUE,1
"Harpinia pectinata","Harpinia pectinata",TRUE,1
"Harpinia serrata","Harpinia serrata",TRUE,1
"Haustorius arenarius","Haustorius arenarius",TRUE,1
"Hediste diversicolor","Hediste diversicolor",TRUE,3
"Hemilamprops rosea","Hemilamprops roseus",TRUE,2
"Hermania scabra","Hermania scabra",TRUE,2
"Hesionidae indet.","Hesionidae",TRUE,0
"Heteromastus filiformis","Heteromastus filiformis",TRUE,4
"Heterotanais oerstedii","Heterotanais oerstedii",TRUE,3
"Hiatella arctica","Hiatella arctica",TRUE,1
"Hippasteria phrygiana","Hippasteria phrygiana",TRUE,1
"Hippomedon denticulatus","Hippomedon denticulatus",TRUE,1
"Holothuroidea indet.","Holothuroidea",TRUE,1
"Hyala vitrea","Hyala vitrea",TRUE,1
